pattern	types	class	owner	consumer	source	target	reason
passwd	f	machine-state	machine administrator	glibc NSS and account tools	asm/nex-systemd.yaml, asm/desktop-vwl/desktop-vwl.yaml, or asm/installer/installer.yaml	-	The machine keeps its local account database across system changes.
group	f	machine-state	machine administrator	glibc NSS and account tools	asm/nex-systemd.yaml, asm/desktop-vwl/desktop-vwl.yaml, or asm/installer/installer.yaml	-	The machine keeps its local group database across system changes.
shadow	f	machine-state	machine administrator	Linux-PAM and account tools	asm/nex-systemd.yaml, asm/desktop-vwl/desktop-vwl.yaml, or asm/installer/installer.yaml	-	The machine keeps password state across system changes.
machine-id	f	machine-state	systemd on first boot	systemd and D-Bus	asm/nex-systemd.yaml	-	Systemd fills the empty seed with this machine's stable identity.
pam.d/system-auth	f	machine-state	machine administrator	Linux-PAM	asm/nex-systemd.yaml or asm/desktop-vwl/desktop-vwl.yaml	-	The machine owner controls its authentication policy.
pam.d/login	f	machine-state	machine administrator	Linux-PAM login service	asm/desktop-vwl/desktop-vwl.yaml	-	The machine owner controls console login policy.
pam.d/other	f	machine-state	machine administrator	Linux-PAM fallback service	asm/nex-systemd.yaml or asm/desktop-vwl/desktop-vwl.yaml	-	The machine owner controls fallback authentication policy.
mtab	l	adapter	kernel mount table readers	programs that still open /etc/mtab	assembly manifests	/proc/self/mounts	The stable kernel view replaces the historical writable file.
resolv.conf	l	adapter	systemd-resolved	glibc and fixed-path DNS readers	asm/nex-systemd.yaml or asm/desktop-vwl/desktop-vwl.yaml	/run/systemd/resolve/stub-resolv.conf	The adapter exposes the resolver's per-boot stub file.
ssl/certs	l	adapter	update-ca-certificates.service	TLS libraries with the historical directory path	asm/nex-systemd.yaml	/run/ssl/certs	The boot service rebuilds the certificate cache under /run.
libvirt/*	fl	machine-state	libvirt administrator	libvirtd	asm/desktop-vwl/desktop-vwl.yaml	*	Libvirtd stamps a generated UUID, and a generated bridge MAC for the network, into these objects when it first loads them.
systemd/system/getty.target.wants/getty@tty1.service	l	unit-choice	machine administrator	systemd	asm/nex-systemd.yaml or asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/system/getty@.service	The initial machine enables a console login prompt.
systemd/system/sockets.target.wants/dbus.socket	l	unit-choice	machine administrator	systemd	asm/nex-systemd.yaml or asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/system/dbus.socket	The initial machine enables the D-Bus socket.
systemd/system/multi-user.target.wants/nex-init-manifests.service	l	unit-choice	machine administrator	systemd	asm/nex-systemd.yaml	/usr/lib/systemd/system/nex-init-manifests.service	The initial machine enables the one-time manifest seed helper.
systemd/system/multi-user.target.wants/systemd-networkd.service	l	unit-choice	machine administrator	systemd	asm/nex-systemd.yaml	/usr/lib/systemd/system/systemd-networkd.service	The base system initially enables systemd-networkd.
systemd/system/multi-user.target.wants/systemd-resolved.service	l	unit-choice	machine administrator	systemd	asm/nex-systemd.yaml or asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/system/systemd-resolved.service	The initial machine enables the local DNS resolver.
systemd/system/timers.target.wants/logrotate.timer	l	unit-choice	machine administrator	systemd	asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/system/logrotate.timer	The desktop initially enables daily log rotation.
systemd/system/multi-user.target.wants/NetworkManager.service	l	unit-choice	machine administrator	systemd	asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/system/NetworkManager.service	The desktop initially enables NetworkManager.
systemd/system/multi-user.target.wants/iwd.service	l	unit-choice	machine administrator	systemd	asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/system/iwd.service	The desktop initially enables iwd.
systemd/system/multi-user.target.wants/bluetooth.service	l	unit-choice	machine administrator	systemd	asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/system/bluetooth.service	The desktop initially enables Bluetooth.
systemd/user/sockets.target.wants/dbus.socket	l	unit-choice	machine administrator	systemd user manager	asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/user/dbus.socket	The desktop initially enables each user's D-Bus socket.
systemd/user/default.target.wants/pipewire.socket	l	unit-choice	machine administrator	systemd user manager	asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/user/pipewire.socket	The desktop initially enables each user's PipeWire socket.
systemd/user/default.target.wants/pipewire-pulse.socket	l	unit-choice	machine administrator	systemd user manager	asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/user/pipewire-pulse.socket	The desktop initially enables each user's PulseAudio-compatible socket.
systemd/user/default.target.wants/wireplumber.service	l	unit-choice	machine administrator	systemd user manager	asm/desktop-vwl/desktop-vwl.yaml	/usr/lib/systemd/user/wireplumber.service	The desktop initially enables each user's media session manager.
