scope	pattern	types	class	owner	consumer	source	target	reason
flat-minimal,flat-systemd,flat-podman,edgebox-rootfs	passwd	f	machine-state	machine administrator	glibc NSS and account tools	flat assembly build scripts	-	The flat machine keeps its local account database in its root filesystem.
flat-minimal,flat-systemd,flat-podman,edgebox-rootfs	group	f	machine-state	machine administrator	glibc NSS and account tools	flat assembly build scripts	-	The flat machine keeps its local group database in its root filesystem.
flat-systemd,flat-podman,edgebox-rootfs	shadow	f	machine-state	machine administrator	Linux-PAM and account tools	flat assembly build scripts	-	The flat machine keeps password state in its root filesystem.
flat-systemd,flat-podman,edgebox-rootfs	machine-id	f	machine-state	systemd on first boot	systemd and D-Bus	base/flat-systemd.yaml	-	Systemd replaces the uninitialized marker with this machine's identity.
flat-podman	subuid	f	machine-state	machine administrator	rootless container tools	base/flat-podman.yaml	-	The machine assigns subordinate user IDs to its local root account.
flat-podman	subgid	f	machine-state	machine administrator	rootless container tools	base/flat-podman.yaml	-	The machine assigns subordinate group IDs to its local root account.
edgebox-rootfs	locale.conf	f	machine-state	appliance builder	systemd locale readers	examples/edgebox-rootfs.yaml	-	The appliance builder selects the machine locale.
edgebox-rootfs	timezone	f	machine-state	appliance builder	timezone compatibility readers	examples/edgebox-rootfs.yaml	-	The appliance builder records the selected timezone name.
edgebox-rootfs	localtime	l	machine-state	appliance builder	glibc time readers	examples/edgebox-rootfs.yaml	/usr/share/zoneinfo/Universal	The appliance builder selects the machine timezone through the standard link.
edgebox-rootfs	systemd/network/80-dhcp.network	f	machine-state	appliance builder	systemd-networkd	examples/edgebox-rootfs.yaml	-	The appliance builder selects DHCP for the appliance network port.
edgebox-rootfs	mtab	l	adapter	kernel mount table readers	programs that still open /etc/mtab	examples/edgebox-rootfs.yaml	/proc/self/mounts	The stable kernel view replaces the historical writable file.
edgebox-rootfs	resolv.conf	l	adapter	systemd-resolved	glibc and fixed-path DNS readers	examples/edgebox-rootfs.yaml	/run/systemd/resolve/stub-resolv.conf	The adapter exposes the resolver's per-boot stub file.
edgebox-rootfs	ssl/certs	l	adapter	update-ca-certificates.service	TLS libraries with the historical directory path	examples/edgebox-rootfs.yaml	/run/ssl/certs	The boot service rebuilds the certificate cache under /run.
edgebox-rootfs	systemd/system/sockets.target.wants/dbus.socket	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/dbus.socket	The appliance enables the D-Bus socket.
edgebox-rootfs	systemd/system/sockets.target.wants/docker.socket	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/docker.socket	The appliance enables the Docker socket.
edgebox-rootfs	systemd/system/sysinit.target.wants/systemd-timesyncd.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/systemd-timesyncd.service	The appliance enables clock synchronization.
edgebox-rootfs	systemd/system/multi-user.target.wants/systemd-networkd.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/systemd-networkd.service	The appliance enables its network manager.
edgebox-rootfs	systemd/system/multi-user.target.wants/systemd-resolved.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/systemd-resolved.service	The appliance enables its DNS resolver.
edgebox-rootfs	systemd/system/multi-user.target.wants/sshd-keygen.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/sshd-keygen.service	The appliance generates host keys on first boot.
edgebox-rootfs	systemd/system/multi-user.target.wants/sshd.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/sshd.service	The appliance enables remote administration.
edgebox-rootfs	systemd/system/multi-user.target.wants/acpid.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/acpid.service	The appliance enables ACPI event handling.
edgebox-rootfs	systemd/system/multi-user.target.wants/containerd.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/containerd.service	The appliance enables its container runtime.
edgebox-rootfs	systemd/system/multi-user.target.wants/docker.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/docker.service	The appliance enables its container engine.
edgebox-rootfs	systemd/system/multi-user.target.wants/pipewire-system.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/pipewire-system.service	The appliance enables system-wide audio.
edgebox-rootfs	systemd/system/multi-user.target.wants/wireplumber-system.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/wireplumber-system.service	The appliance enables its audio session manager.
edgebox-rootfs	systemd/system/multi-user.target.wants/pipewire-pulse-system.service	l	unit-choice	appliance builder	systemd	examples/edgebox-rootfs.yaml	/usr/lib/systemd/system/pipewire-pulse-system.service	The appliance enables its PulseAudio-compatible service.
